distributorId,totalOrders,status_a(count),status_b(count),status_b(percentage)
1,22776,1365,2909,36.54981781630858
2,6242,227,468,5.880135695439125
3,6398,253,532,6.684256816182938
4,3082,197,371,4.661389621811785
5,14413,548,1056,13.267998492272898
6,4858,404,848,10.65460484985551
7,388,54,107,1.3443899987435608
8,488,37,71,0.8920718683251665
9,624,34,64,0.804121120743812
10,2700,173,368,4.623696444276919
11,1057,49,81,1.0177157934413872
12,4255,145,307,3.8572685010679733
13,2344,123,288,3.6185450433471544
14,4782,14,22,0.2764166352556854
15,1004,43,90,1.1307953260459858
16,151,28,50,0.6282196255811031
17,312,22,59,0.7412991581857017
18,726,28,90,1.1307953260459858
19,42,1,5,0.06282196255811032
20,437,26,61,0.7664279432089458
21,8,2,4,0.05025757004648825
22,60,0,1,0.012564392511622063
23,117,15,20,0.25128785023244127
24,1300,34,65,0.8166855132554341
25,103,2,1,0.012564392511622063
26,5450,4,1,0.012564392511622063
27,6640,12,8,0.1005151400929765
28,1338,1,6,0.07538635506973237
29,32330,0,1,0.012564392511622063
30,9600,0,1,0.012564392511622063
31,1,1,0,0.0
32,470,0,4,0.05025757004648825
